date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants
2020-02-25,Brazil,SP,TOTAL,0,0,1,1,0,0,0.00000,0.00218,0.00000,,,,
2020-02-25,Brazil,TOTAL,TOTAL,0,0,1,1,0,0,0.00000,0.00048,0.00000,,,,
2020-02-26,Brazil,SP,TOTAL,0,0,0,1,0,1,0.00000,0.00218,0.00000,,,,
2020-02-26,Brazil,TOTAL,TOTAL,0,0,0,1,0,1,0.00000,0.00048,0.00000,,,,
2020-02-27,Brazil,SP,TOTAL,0,0,0,1,0,1,0.00000,0.00218,0.00000,,,,
2020-02-27,Brazil,TOTAL,TOTAL,0,0,0,1,0,1,0.00000,0.00048,0.00000,,,,
2020-02-28,Brazil,SP,TOTAL,0,0,1,2,0,1,0.00000,0.00436,0.00000,,,,
2020-02-28,Brazil,TOTAL,TOTAL,0,0,1,2,0,1,0.00000,0.00095,0.00000,,,,
2020-02-29,Brazil,SP,TOTAL,0,0,0,2,0,2,0.00000,0.00436,0.00000,,,,
2020-02-29,Brazil,TOTAL,TOTAL,0,0,0,2,0,2,0.00000,0.00095,0.00000,,,,
2020-03-01,Brazil,SP,TOTAL,0,0,0,2,0,2,0.00000,0.00436,0.00000,,,,
2020-03-01,Brazil,TOTAL,TOTAL,0,0,0,2,0,2,0.00000,0.00095,0.00000,,,,
2020-03-02,Brazil,SP,TOTAL,0,0,0,2,0,2,0.00000,0.00436,0.00000,,,,
2020-03-02,Brazil,TOTAL,TOTAL,0,0,0,2,0,2,0.00000,0.00095,0.00000,,,,
2020-03-03,Brazil,SP,TOTAL,0,0,0,2,0,2,0.00000,0.00436,0.00000,,,,
2020-03-03,Brazil,TOTAL,TOTAL,0,0,0,2,0,2,0.00000,0.00095,0.00000,,,,
2020-03-04,Brazil,SP,TOTAL,0,0,1,3,0,3,0.00000,0.00653,0.00000,,,,
2020-03-04,Brazil,TOTAL,TOTAL,0,0,1,3,0,3,0.00000,0.00143,0.00000,,,,
2020-03-05,Brazil,RJ,TOTAL,0,0,1,1,0,1,0.00000,0.00579,0.00000,,,,
2020-03-05,Brazil,SP,TOTAL,0,0,3,6,0,6,0.00000,0.01307,0.00000,,,,
2020-03-05,Brazil,TOTAL,TOTAL,0,0,4,7,0,7,0.00000,0.00333,0.00000,,,,
2020-03-06,Brazil,BA,TOTAL,0,0,1,1,0,1,0.00000,0.00672,0.00000,,,,
2020-03-06,Brazil,ES,TOTAL,0,0,1,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-06,Brazil,RJ,TOTAL,0,0,1,2,0,1,0.00000,0.01158,0.00000,,,,
2020-03-06,Brazil,SP,TOTAL,0,0,4,10,0,10,0.00000,0.02178,0.00000,,,,
2020-03-06,Brazil,TOTAL,TOTAL,0,0,7,14,0,13,0.00000,0.00666,0.00000,,,,
2020-03-07,Brazil,BA,TOTAL,0,0,1,2,0,2,0.00000,0.01345,0.00000,,,,
2020-03-07,Brazil,DF,TOTAL,0,0,1,1,0,1,0.00000,0.03316,0.00000,,,,
2020-03-07,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-07,Brazil,RJ,TOTAL,0,0,0,2,0,2,0.00000,0.01158,0.00000,,,,
2020-03-07,Brazil,SP,TOTAL,0,0,3,13,0,13,0.00000,0.02831,0.00000,,,,
2020-03-07,Brazil,TOTAL,TOTAL,0,0,5,19,0,19,0.00000,0.00904,0.00000,,,,
2020-03-08,Brazil,AL,TOTAL,0,0,1,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-08,Brazil,BA,TOTAL,0,0,0,2,0,2,0.00000,0.01345,0.00000,,,,
2020-03-08,Brazil,DF,TOTAL,0,0,0,1,0,1,0.00000,0.03316,0.00000,,,,
2020-03-08,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-08,Brazil,MG,TOTAL,0,0,1,1,0,1,0.00000,0.00472,0.00000,,,,
2020-03-08,Brazil,RJ,TOTAL,0,0,1,3,0,3,0.00000,0.01738,0.00000,,,,
2020-03-08,Brazil,SP,TOTAL,0,0,3,16,0,16,0.00000,0.03484,0.00000,,,,
2020-03-08,Brazil,TOTAL,TOTAL,0,0,6,25,0,25,0.00000,0.01190,0.00000,,,,
2020-03-09,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-09,Brazil,BA,TOTAL,0,0,0,2,0,2,0.00000,0.01345,0.00000,,,,
2020-03-09,Brazil,DF,TOTAL,0,0,0,1,0,1,0.00000,0.03316,0.00000,,,,
2020-03-09,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-09,Brazil,MG,TOTAL,0,0,0,1,0,1,0.00000,0.00472,0.00000,,,,
2020-03-09,Brazil,RJ,TOTAL,0,0,0,3,0,3,0.00000,0.01738,0.00000,,,,
2020-03-09,Brazil,SP,TOTAL,0,0,0,16,0,16,0.00000,0.03484,0.00000,,,,
2020-03-09,Brazil,TOTAL,TOTAL,0,0,0,25,0,25,0.00000,0.01190,0.00000,,,,
2020-03-10,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-10,Brazil,BA,TOTAL,0,0,0,2,0,2,0.00000,0.01345,0.00000,,,,
2020-03-10,Brazil,DF,TOTAL,0,0,0,1,0,1,0.00000,0.03316,0.00000,,,,
2020-03-10,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-10,Brazil,MG,TOTAL,0,0,0,1,0,1,0.00000,0.00472,0.00000,,,,
2020-03-10,Brazil,RJ,TOTAL,0,0,5,8,0,8,0.00000,0.04634,0.00000,,,,
2020-03-10,Brazil,RS,TOTAL,0,0,1,1,0,1,0.00000,0.00879,0.00000,,,,
2020-03-10,Brazil,SP,TOTAL,0,0,3,19,0,19,0.00000,0.04138,0.00000,,,,
2020-03-10,Brazil,TOTAL,TOTAL,0,0,9,34,0,34,0.00000,0.01618,0.00000,,,,
2020-03-11,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-11,Brazil,BA,TOTAL,0,0,1,3,0,2,0.00000,0.02017,0.00000,,,,
2020-03-11,Brazil,DF,TOTAL,0,0,1,2,0,2,0.00000,0.06633,0.00000,,,,
2020-03-11,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-11,Brazil,MG,TOTAL,0,0,0,1,0,1,0.00000,0.00472,0.00000,,,,
2020-03-11,Brazil,RJ,TOTAL,0,0,5,13,0,13,0.00000,0.07530,0.00000,,,,
2020-03-11,Brazil,RS,TOTAL,0,0,1,2,0,2,0.00000,0.01758,0.00000,,,,
2020-03-11,Brazil,SP,TOTAL,0,0,11,30,0,30,0.00000,0.06533,0.00000,,,,
2020-03-11,Brazil,TOTAL,TOTAL,0,0,19,53,0,52,0.00000,0.02522,0.00000,,,,
2020-03-12,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-12,Brazil,BA,TOTAL,0,0,0,3,0,2,0.00000,0.02017,0.00000,,,,
2020-03-12,Brazil,DF,TOTAL,0,0,0,2,0,2,0.00000,0.06633,0.00000,,,,
2020-03-12,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-12,Brazil,GO,TOTAL,0,0,3,3,0,0,0.00000,0.04275,0.00000,,,,
2020-03-12,Brazil,MG,TOTAL,0,0,1,2,0,1,0.00000,0.00945,0.00000,,,,
2020-03-12,Brazil,PE,TOTAL,0,0,2,2,0,2,0.00000,0.02093,0.00000,,,,
2020-03-12,Brazil,PR,TOTAL,0,0,6,6,0,6,0.00000,0.05248,0.00000,,,,
2020-03-12,Brazil,RJ,TOTAL,0,0,3,16,0,16,0.00000,0.09267,0.00000,,,,
2020-03-12,Brazil,RN,TOTAL,0,0,1,1,0,0,0.00000,0.02852,0.00000,,,,
2020-03-12,Brazil,RS,TOTAL,0,0,2,4,0,4,0.00000,0.03516,0.00000,,,,
2020-03-12,Brazil,SC,TOTAL,0,0,2,2,0,0,0.00000,0.02791,0.00000,,,,
2020-03-12,Brazil,SP,TOTAL,0,0,16,46,0,42,0.00000,0.10018,0.00000,,,,
2020-03-12,Brazil,TOTAL,TOTAL,0,0,36,89,0,77,0.00000,0.04235,0.00000,,,,
2020-03-13,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-13,Brazil,AM,TOTAL,0,0,2,2,0,0,0.00000,0.04826,0.00000,,,,
2020-03-13,Brazil,BA,TOTAL,0,0,4,7,0,2,0.00000,0.04706,0.00000,,,,
2020-03-13,Brazil,DF,TOTAL,0,0,0,2,0,2,0.00000,0.06633,0.00000,,,,
2020-03-13,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-13,Brazil,GO,TOTAL,0,0,0,3,0,3,0.00000,0.04275,0.00000,,,,
2020-03-13,Brazil,MG,TOTAL,0,0,0,2,0,2,0.00000,0.00945,0.00000,,,,
2020-03-13,Brazil,PE,TOTAL,0,0,0,2,0,2,0.00000,0.02093,0.00000,,,,
2020-03-13,Brazil,PR,TOTAL,0,0,0,6,0,6,0.00000,0.05248,0.00000,,,,
2020-03-13,Brazil,RJ,TOTAL,0,0,0,16,0,16,0.00000,0.09267,0.00000,,,,
2020-03-13,Brazil,RN,TOTAL,0,0,0,1,0,1,0.00000,0.02852,0.00000,,,,
2020-03-13,Brazil,RS,TOTAL,0,0,0,4,0,4,0.00000,0.03516,0.00000,,,,
2020-03-13,Brazil,SC,TOTAL,0,0,1,3,0,2,0.00000,0.04187,0.00000,,,,
2020-03-13,Brazil,SP,TOTAL,0,0,10,56,0,56,0.00000,0.12195,0.00000,,,,
2020-03-13,Brazil,TOTAL,TOTAL,0,0,17,106,0,98,0.00000,0.05044,0.00000,,,,
2020-03-14,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-14,Brazil,AM,TOTAL,0,0,0,2,0,0,0.00000,0.04826,0.00000,,,,
2020-03-14,Brazil,BA,TOTAL,0,0,0,7,0,2,0.00000,0.04706,0.00000,,,,
2020-03-14,Brazil,DF,TOTAL,0,0,6,8,0,6,0.00000,0.26532,0.00000,,,,
2020-03-14,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-14,Brazil,GO,TOTAL,0,0,1,4,0,3,0.00000,0.05699,0.00000,,,,
2020-03-14,Brazil,MG,TOTAL,0,0,2,4,0,2,0.00000,0.01890,0.00000,,,,
2020-03-14,Brazil,MS,TOTAL,0,0,2,2,0,0,0.00000,0.07197,0.00000,,,,
2020-03-14,Brazil,PE,TOTAL,0,0,5,7,0,2,0.00000,0.07324,0.00000,,,,
2020-03-14,Brazil,PR,TOTAL,0,0,0,6,0,6,0.00000,0.05248,0.00000,,,,
2020-03-14,Brazil,RJ,TOTAL,0,0,6,22,0,22,0.00000,0.12743,0.00000,,,,
2020-03-14,Brazil,RN,TOTAL,0,0,0,1,0,1,0.00000,0.02852,0.00000,,,,
2020-03-14,Brazil,RS,TOTAL,0,0,2,6,0,6,0.00000,0.05274,0.00000,,,,
2020-03-14,Brazil,SC,TOTAL,0,0,2,5,0,4,0.00000,0.06979,0.00000,,,,
2020-03-14,Brazil,SE,TOTAL,0,0,1,1,0,0,0.00000,0.04350,0.00000,,,,
2020-03-14,Brazil,SP,TOTAL,0,0,9,65,0,65,0.00000,0.14155,0.00000,,,,
2020-03-14,Brazil,TOTAL,TOTAL,0,0,36,142,0,121,0.00000,0.06757,0.00000,,,,
2020-03-15,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-15,Brazil,AM,TOTAL,0,0,0,2,0,1,0.00000,0.04826,0.00000,,,,
2020-03-15,Brazil,BA,TOTAL,0,0,2,9,0,2,0.00000,0.06051,0.00000,,,,
2020-03-15,Brazil,DF,TOTAL,0,0,6,14,0,8,0.00000,0.46430,0.00000,,,,
2020-03-15,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-15,Brazil,GO,TOTAL,0,0,0,4,0,3,0.00000,0.05699,0.00000,,,,
2020-03-15,Brazil,MG,TOTAL,0,0,0,4,0,2,0.00000,0.01890,0.00000,,,,
2020-03-15,Brazil,MS,TOTAL,0,0,0,2,0,0,0.00000,0.07197,0.00000,,,,
2020-03-15,Brazil,PE,TOTAL,0,0,1,8,0,2,0.00000,0.08371,0.00000,,,,
2020-03-15,Brazil,PR,TOTAL,0,0,0,6,0,6,0.00000,0.05248,0.00000,,,,
2020-03-15,Brazil,RJ,TOTAL,0,0,2,24,0,24,0.00000,0.13901,0.00000,,,,
2020-03-15,Brazil,RN,TOTAL,0,0,0,1,0,1,0.00000,0.02852,0.00000,,,,
2020-03-15,Brazil,RS,TOTAL,0,0,0,6,0,6,0.00000,0.05274,0.00000,,,,
2020-03-15,Brazil,SC,TOTAL,0,0,1,6,0,6,0.00000,0.08374,0.00000,,,,
2020-03-15,Brazil,SE,TOTAL,0,0,0,1,0,1,0.00000,0.04350,0.00000,,,,
2020-03-15,Brazil,SP,TOTAL,0,0,71,136,0,136,0.00000,0.29617,0.00000,,,,
2020-03-15,Brazil,TOTAL,TOTAL,0,0,83,225,0,200,0.00000,0.10707,0.00000,,,,
2020-03-16,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-16,Brazil,AM,TOTAL,0,0,0,2,0,1,0.00000,0.04826,0.00000,,,,
2020-03-16,Brazil,BA,TOTAL,0,0,1,10,0,2,0.00000,0.06724,0.00000,,,,
2020-03-16,Brazil,CE,TOTAL,0,0,9,9,0,0,0.00000,0.09855,0.00000,,,,
2020-03-16,Brazil,DF,TOTAL,0,0,5,19,0,13,0.00000,0.63013,0.00000,,,,
2020-03-16,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-16,Brazil,GO,TOTAL,0,0,5,9,0,3,0.00000,0.12824,0.00000,,,,
2020-03-16,Brazil,MG,TOTAL,0,0,2,6,0,5,0.00000,0.02834,0.00000,,,,
2020-03-16,Brazil,MS,TOTAL,0,0,2,4,0,2,0.00000,0.14394,0.00000,,,,
2020-03-16,Brazil,PE,TOTAL,0,0,0,8,0,2,0.00000,0.08371,0.00000,,,,
2020-03-16,Brazil,PR,TOTAL,0,0,0,6,0,6,0.00000,0.05248,0.00000,,,,
2020-03-16,Brazil,RJ,TOTAL,0,0,7,31,0,31,0.00000,0.17955,0.00000,,,,
2020-03-16,Brazil,RN,TOTAL,0,0,0,1,0,1,0.00000,0.02852,0.00000,,,,
2020-03-16,Brazil,RS,TOTAL,0,0,2,8,0,6,0.00000,0.07032,0.00000,,,,
2020-03-16,Brazil,SC,TOTAL,0,0,1,7,0,7,0.00000,0.09770,0.00000,,,,
2020-03-16,Brazil,SE,TOTAL,0,0,4,5,0,1,0.00000,0.21751,0.00000,,,,
2020-03-16,Brazil,SP,TOTAL,0,0,16,152,0,152,0.00000,0.33102,0.00000,,,,
2020-03-16,Brazil,TOTAL,TOTAL,0,0,54,279,0,234,0.00000,0.13276,0.00000,,,,
2020-03-17,Brazil,AC,TOTAL,0,0,3,3,0,0,0.00000,0.34016,0.00000,,,,
2020-03-17,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-17,Brazil,AM,TOTAL,0,0,0,2,0,1,0.00000,0.04826,0.00000,,,,
2020-03-17,Brazil,BA,TOTAL,0,0,4,14,0,3,0.00000,0.09413,0.00000,,,,
2020-03-17,Brazil,CE,TOTAL,0,0,1,10,0,5,0.00000,0.10950,0.00000,,,,
2020-03-17,Brazil,DF,TOTAL,0,0,3,22,0,22,0.00000,0.72962,0.00000,,,,
2020-03-17,Brazil,ES,TOTAL,0,0,0,1,0,1,0.00000,0.02488,0.00000,,,,
2020-03-17,Brazil,GO,TOTAL,0,0,1,10,0,6,0.00000,0.14248,0.00000,,,,
2020-03-17,Brazil,MG,TOTAL,0,0,8,14,0,7,0.00000,0.06614,0.00000,,,,
2020-03-17,Brazil,MS,TOTAL,0,0,2,6,0,4,0.00000,0.21591,0.00000,,,,
2020-03-17,Brazil,PE,TOTAL,0,0,10,18,0,16,0.00000,0.18834,0.00000,,,,
2020-03-17,Brazil,PR,TOTAL,0,0,6,12,0,6,0.00000,0.10495,0.00000,,,,
2020-03-17,Brazil,RJ,TOTAL,0,0,2,33,0,33,0.00000,0.19114,0.00000,,,,
2020-03-17,Brazil,RN,TOTAL,0,0,0,1,0,1,0.00000,0.02852,0.00000,,,,
2020-03-17,Brazil,RS,TOTAL,0,0,2,10,0,10,0.00000,0.08789,0.00000,,,,
2020-03-17,Brazil,SC,TOTAL,0,0,0,7,0,7,0.00000,0.09770,0.00000,,,,
2020-03-17,Brazil,SE,TOTAL,0,0,0,5,0,4,0.00000,0.21751,0.00000,,,,
2020-03-17,Brazil,SP,TOTAL,1,1,12,164,1,164,0.00218,0.35715,0.00610,,,,
2020-03-17,Brazil,TOTAL,TOTAL,1,1,54,333,1,291,0.00048,0.15846,0.00300,,,,
2020-03-18,Brazil,AC,TOTAL,0,0,0,3,0,0,0.00000,0.34016,0.00000,,,,
2020-03-18,Brazil,AL,TOTAL,0,0,0,1,0,1,0.00000,0.02996,0.00000,,,,
2020-03-18,Brazil,AM,TOTAL,0,0,0,2,0,1,0.00000,0.04826,0.00000,,,,
2020-03-18,Brazil,BA,TOTAL,0,0,13,27,0,3,0.00000,0.18154,0.00000,,,,
2020-03-18,Brazil,CE,TOTAL,0,0,9,19,0,9,0.00000,0.20806,0.00000,,,,
2020-03-18,Brazil,DF,TOTAL,0,0,12,34,0,26,0.00000,1.12759,0.00000,,,,
2020-03-18,Brazil,ES,TOTAL,0,0,8,9,0,9,0.00000,0.22396,0.00000,,,,
2020-03-18,Brazil,GO,TOTAL,0,0,2,12,0,8,0.00000,0.17098,0.00000,,,,
2020-03-18,Brazil,MG,TOTAL,0,0,5,19,0,15,0.00000,0.08975,0.00000,,,,
2020-03-18,Brazil,MS,TOTAL,0,0,1,7,0,7,0.00000,0.25189,0.00000,,,,
2020-03-18,Brazil,PA,TOTAL,0,0,1,1,0,0,0.00000,0.01162,0.00000,,,,
2020-03-18,Brazil,PB,TOTAL,0,0,1,1,0,0,0.00000,0.02489,0.00000,,,,
2020-03-18,Brazil,PE,TOTAL,0,0,1,19,0,16,0.00000,0.19881,0.00000,,,,
2020-03-18,Brazil,PR,TOTAL,0,0,3,15,0,13,0.00000,0.13119,0.00000,,,,
2020-03-18,Brazil,RJ,TOTAL,0,0,30,63,0,45,0.00000,0.36490,0.00000,,,,
2020-03-18,Brazil,RN,TOTAL,0,0,0,1,0,1,0.00000,0.02852,0.00000,,,,
2020-03-18,Brazil,RS,TOTAL,0,0,9,19,0,19,0.00000,0.16700,0.00000,,,,
2020-03-18,Brazil,SC,TOTAL,0,0,7,14,0,10,0.00000,0.19540,0.00000,,,,
2020-03-18,Brazil,SE,TOTAL,0,0,1,6,0,5,0.00000,0.26102,0.00000,,,,
2020-03-18,Brazil,SP,TOTAL,3,4,77,241,4,240,0.00871,0.52484,0.01660,,,,
2020-03-18,Brazil,TO,TOTAL,0,0,1,1,0,0,0.00000,0.06358,0.00000,,,,
2020-03-18,Brazil,TOTAL,TOTAL,3,4,181,514,4,428,0.00190,0.24459,0.00778,,,,
2020-03-19,Brazil,AC,TOTAL,0,0,1,4,0,3,0.00000,0.45355,0.00000,,,,
2020-03-19,Brazil,AL,TOTAL,0,0,3,4,0,4,0.00000,0.11986,0.00000,,,,
2020-03-19,Brazil,AM,TOTAL,0,0,1,3,0,3,0.00000,0.07238,0.00000,,,,
2020-03-19,Brazil,BA,TOTAL,0,0,4,31,0,30,0.00000,0.20843,0.00000,,,,
2020-03-19,Brazil,CE,TOTAL,0,0,1,20,0,20,0.00000,0.21901,0.00000,,,,
2020-03-19,Brazil,DF,TOTAL,0,0,8,42,0,42,0.00000,1.39291,0.00000,,,,
2020-03-19,Brazil,ES,TOTAL,0,0,4,13,0,11,0.00000,0.32349,0.00000,,,,
2020-03-19,Brazil,GO,TOTAL,0,0,3,15,0,12,0.00000,0.21373,0.00000,,,,
2020-03-19,Brazil,MG,TOTAL,0,0,10,29,0,29,0.00000,0.13699,0.00000,,,,
2020-03-19,Brazil,MS,TOTAL,0,0,2,9,0,7,0.00000,0.32386,0.00000,,,,
2020-03-19,Brazil,PA,TOTAL,0,0,0,1,0,1,0.00000,0.01162,0.00000,,,,
2020-03-19,Brazil,PB,TOTAL,0,0,0,1,0,1,0.00000,0.02489,0.00000,,,,
2020-03-19,Brazil,PE,TOTAL,0,0,9,28,0,28,0.00000,0.29298,0.00000,,,,
2020-03-19,Brazil,PI,TOTAL,0,0,3,3,0,0,0.00000,0.09165,0.00000,,,,
2020-03-19,Brazil,PR,TOTAL,0,0,9,24,0,23,0.00000,0.20990,0.00000,,,,
2020-03-19,Brazil,RJ,TOTAL,2,2,3,66,2,65,0.01158,0.38228,0.03030,,,,
2020-03-19,Brazil,RN,TOTAL,0,0,0,1,0,1,0.00000,0.02852,0.00000,,,,
2020-03-19,Brazil,RS,TOTAL,0,0,12,31,0,28,0.00000,0.27247,0.00000,,,,
2020-03-19,Brazil,SC,TOTAL,0,0,7,21,0,20,0.00000,0.29310,0.00000,,,,
2020-03-19,Brazil,SE,TOTAL,0,0,0,6,0,6,0.00000,0.26102,0.00000,,,,
2020-03-19,Brazil,SP,TOTAL,1,5,45,286,4,286,0.01089,0.62284,0.01748,,,,
2020-03-19,Brazil,TO,TOTAL,0,0,0,1,0,1,0.00000,0.06358,0.00000,,,,
2020-03-19,Brazil,TOTAL,TOTAL,3,7,125,639,6,621,0.00333,0.30407,0.01095,,,,
2020-03-20,Brazil,AC,TOTAL,0,0,3,7,0,7,0.00000,0.79371,0.00000,,,,
2020-03-20,Brazil,AL,TOTAL,0,0,2,6,0,5,0.00000,0.17978,0.00000,,,,
2020-03-20,Brazil,AM,TOTAL,0,0,4,7,0,3,0.00000,0.16889,0.00000,,,,
2020-03-20,Brazil,AP,TOTAL,0,0,1,1,0,1,0.00000,0.11824,0.00000,,,,
2020-03-20,Brazil,BA,TOTAL,0,0,3,34,0,33,0.00000,0.22860,0.00000,,,,
2020-03-20,Brazil,CE,TOTAL,0,0,48,68,0,55,0.00000,0.74463,0.00000,,,,
2020-03-20,Brazil,DF,TOTAL,0,0,45,87,0,87,0.00000,2.88532,0.00000,,,,
2020-03-20,Brazil,ES,TOTAL,0,0,3,16,0,13,0.00000,0.39814,0.00000,,,,
2020-03-20,Brazil,GO,TOTAL,0,0,3,18,0,15,0.00000,0.25647,0.00000,,,,
2020-03-20,Brazil,MA,TOTAL,0,0,1,1,0,0,0.00000,0.01413,0.00000,,,,
2020-03-20,Brazil,MG,TOTAL,0,0,9,38,0,35,0.00000,0.17951,0.00000,,,,
2020-03-20,Brazil,MS,TOTAL,0,0,3,12,0,9,0.00000,0.43181,0.00000,,,,
2020-03-20,Brazil,MT,TOTAL,0,0,1,1,0,1,0.00000,0.02870,0.00000,,,,
2020-03-20,Brazil,PA,TOTAL,0,0,1,2,0,2,0.00000,0.02325,0.00000,,,,
2020-03-20,Brazil,PB,TOTAL,0,0,0,1,0,1,0.00000,0.02489,0.00000,,,,
2020-03-20,Brazil,PE,TOTAL,0,0,2,30,0,30,0.00000,0.31390,0.00000,,,,
2020-03-20,Brazil,PI,TOTAL,0,0,1,4,0,3,0.00000,0.12220,0.00000,,,,
2020-03-20,Brazil,PR,TOTAL,0,0,13,37,0,32,0.00000,0.32360,0.00000,,,,
2020-03-20,Brazil,RJ,TOTAL,0,2,43,109,2,109,0.01158,0.63134,0.01835,,,,
2020-03-20,Brazil,RN,TOTAL,0,0,5,6,0,1,0.00000,0.17109,0.00000,,,,
2020-03-20,Brazil,RO,TOTAL,0,0,1,1,0,1,0.00000,0.05627,0.00000,,,,
2020-03-20,Brazil,RS,TOTAL,0,0,12,43,0,37,0.00000,0.37795,0.00000,,,,
2020-03-20,Brazil,SC,TOTAL,0,0,18,39,0,21,0.00000,0.54433,0.00000,,,,
2020-03-20,Brazil,SE,TOTAL,0,0,1,7,0,6,0.00000,0.30452,0.00000,,,,
2020-03-20,Brazil,SP,TOTAL,4,9,110,396,9,396,0.01960,0.86239,0.02273,,,,
2020-03-20,Brazil,TO,TOTAL,0,0,0,1,0,1,0.00000,0.06358,0.00000,,,,
2020-03-20,Brazil,TOTAL,TOTAL,4,11,333,972,11,904,0.00523,0.46253,0.01132,,,,
2020-03-21,Brazil,AC,TOTAL,0,0,4,11,0,9,0.00000,1.24726,0.00000,,,,
2020-03-21,Brazil,AL,TOTAL,0,0,1,7,0,7,0.00000,0.20975,0.00000,,,,
2020-03-21,Brazil,AM,TOTAL,0,0,4,11,0,11,0.00000,0.26541,0.00000,,,,
2020-03-21,Brazil,AP,TOTAL,0,0,0,1,0,1,0.00000,0.11824,0.00000,,,,
2020-03-21,Brazil,BA,TOTAL,0,0,7,41,0,41,0.00000,0.27567,0.00000,,,,
2020-03-21,Brazil,CE,TOTAL,0,0,16,84,0,68,0.00000,0.91983,0.00000,,,,
2020-03-21,Brazil,DF,TOTAL,0,0,21,108,0,100,0.00000,3.58177,0.00000,,,,
2020-03-21,Brazil,ES,TOTAL,0,0,10,26,0,26,0.00000,0.64698,0.00000,,,,
2020-03-21,Brazil,GO,TOTAL,0,0,2,20,0,20,0.00000,0.28497,0.00000,,,,
2020-03-21,Brazil,MA,TOTAL,0,0,1,2,0,1,0.00000,0.02827,0.00000,,,,
2020-03-21,Brazil,MG,TOTAL,0,0,16,54,0,38,0.00000,0.25509,0.00000,,,,
2020-03-21,Brazil,MS,TOTAL,0,0,4,16,0,16,0.00000,0.57575,0.00000,,,,
2020-03-21,Brazil,MT,TOTAL,0,0,1,2,0,2,0.00000,0.05740,0.00000,,,,
2020-03-21,Brazil,PA,TOTAL,0,0,0,2,0,2,0.00000,0.02325,0.00000,,,,
2020-03-21,Brazil,PB,TOTAL,0,0,0,1,0,1,0.00000,0.02489,0.00000,,,,
2020-03-21,Brazil,PE,TOTAL,0,0,3,33,0,30,0.00000,0.34529,0.00000,,,,
2020-03-21,Brazil,PI,TOTAL,0,0,0,4,0,4,0.00000,0.12220,0.00000,,,,
2020-03-21,Brazil,PR,TOTAL,0,0,7,44,0,43,0.00000,0.38482,0.00000,,,,
2020-03-21,Brazil,RJ,TOTAL,1,3,10,119,3,119,0.01738,0.68926,0.02521,,,,
